date_added,headquarters,sector,security,symbol
2017-03-20,"St. Petersburg, Florida",Financials,Raymond James,RJF
1957-03-04,"Waltham, Massachusetts",Industrials,RTX Corporation,RTX
2015-04-07,"San Diego, California",Real Estate,Realty Income,O
2017-03-02,Jacksonville,Real Estate,Regency Centers,REG
2013-05-01,"Tarrytown, New York",Health Care,Regeneron,REGN
1998-08-28,"Birmingham, Alabama",Financials,Regions Financial Corporation,RF
2008-12-05,"Phoenix, Arizona",Industrials,Republic Services,RSG
2017-07-26,"San Diego, California",Health Care,ResMed,RMD
1985-05-31,"Waltham, Massachusetts",Health Care,Revvity,RVTY
2000-12-05,"Menlo Park, California",Industrials,Robert Half,RHI
2000-03-12,"Milwaukee, Wisconsin",Industrials,Rockwell Automation,ROK
2018-10-01,"Atlanta, Georgia",Industrials,"Rollins, Inc.",ROL
2009-12-23,"Sarasota, Florida",Information Technology,Roper Technologies,ROP
2009-12-21,"Dublin, California",Consumer Discretionary,Ross Stores,ROST
2014-12-05,"Miami, Florida",Consumer Discretionary,Royal Caribbean Group,RCL
1957-03-04,"New York City, New York",Financials,S&P Global,SPGI
2008-09-15,"San Francisco, California",Information Technology,Salesforce,CRM
2017-09-01,"Boca Raton, Florida",Real Estate,SBA Communications,SBAC
1957-03-04,"Houston, Texas",Energy,Schlumberger,SLB
2012-07-02,"Dublin, Ireland",Information Technology,Seagate Technology,STX
2017-03-17,"San Diego, California",Utilities,Sempra Energy,SRE
2019-11-21,"Santa Clara, California",Information Technology,ServiceNow,NOW
1964-06-30,"Cleveland, Ohio",Materials,Sherwin-Williams,SHW
2002-06-26,"Indianapolis, Indiana",Real Estate,Simon Property Group,SPG
2015-03-12,"Irvine, California",Information Technology,Skyworks Solutions,SWKS
2008-11-06,"Orrville, Ohio",Consumer Staples,J.M. Smucker Company (The),SJM
1982-09-30,"Kenosha, Wisconsin",Industrials,Snap-on,SNA
1957-03-04,"Atlanta, Georgia",Utilities,Southern Company,SO
1994-07-01,"Dallas, Texas",Industrials,Southwest Airlines,LUV
1982-09-30,"New Britain, Connecticut",Industrials,Stanley Black & Decker,SWK
2000-06-07,"Seattle, Washington",Consumer Discretionary,Starbucks,SBUX
2003-03-14,"Boston, Massachusetts",Financials,State Street Corporation,STT
2022-12-22,"Fort Wayne, Indiana",Materials,Steel Dynamics,STLD
2019-12-23,"Dublin, Ireland",Health Care,Steris,STE
2000-12-12,"Kalamazoo, Michigan",Health Care,Stryker Corporation,SYK
2015-11-18,"Stamford, Connecticut",Financials,Synchrony Financial,SYF
2017-03-16,"Sunnyvale, California",Information Technology,Synopsys,SNPS
1986-12-31,"Houston, Texas",Consumer Staples,Sysco,SYY
2019-07-15,"Bellevue, Washington",Communication Services,T-Mobile US,TMUS
2019-07-29,"Baltimore, Maryland",Financials,T. Rowe Price,TROW
2018-03-19,"New York City, New York",Communication Services,Take-Two Interactive,TTWO
"2004-09-01
","New York City, New York",Consumer Discretionary,"Tapestry, Inc.",TPR
2022-10-12,"Houston, Texas",Energy,Targa Resources,TRGP
1976-12-31,"Minneapolis, Minnesota",Consumer Staples,Target Corporation,TGT
2011-10-17,Schaffhausen,Information Technology,TE Connectivity,TEL
2020-06-22,"Thousand Oaks, California",Information Technology,Teledyne Technologies,TDY
2019-01-18,"Wayne, Pennsylvania",Health Care,Teleflex,TFX
2020-09-21,"North Reading, Massachusetts",Information Technology,Teradyne,TER
2020-12-21,"Austin, Texas",Consumer Discretionary,"Tesla, Inc.",TSLA
2001-03-12,"Dallas, Texas",Information Technology,Texas Instruments,TXN
1978-12-31,"Providence, Rhode Island",Industrials,Textron,TXT
2004-08-03,"Waltham, Massachusetts",Health Care,Thermo Fisher Scientific,TMO
1985-09-30,"Framingham, Massachusetts",Consumer Discretionary,TJX Companies,TJX
2014-01-24,"Brentwood, Tennessee",Consumer Discretionary,Tractor Supply,TSCO
2010-11-17,"Dublin, Ireland",Industrials,Trane Technologies,TT
2016-06-03,"Cleveland, Ohio",Industrials,TransDigm Group,TDG
2002-08-21,"New York City, New York",Financials,Travelers Companies (The),TRV
2021-01-21,"Westminster, Colorado",Information Technology,Trimble Inc.,TRMB
1997-12-04,"Charlotte, North Carolina",Financials,Truist,TFC
2020-06-22,"Plano, Texas",Information Technology,Tyler Technologies,TYL
2005-08-10,"Springdale, Arkansas",Consumer Staples,Tyson Foods,TSN
1999-11-01,"Minneapolis, Minnesota",Financials,U.S. Bank,USB
2023-12-18,"San Francisco, California",Industrials,Uber,UBER
2016-03-07,"Highlands Ranch, Colorado",Real Estate,"UDR, Inc.",UDR
2016-04-18,"Bolingbrook, Illinois",Consumer Discretionary,Ulta Beauty,ULTA
1957-03-04,"Omaha, Nebraska",Industrials,Union Pacific Corporation,UNP
2015-09-03,"Chicago, Illinois",Industrials,United Airlines Holdings,UAL
2002-07-22,"Sandy Springs, Georgia",Industrials,United Parcel Service,UPS
2014-09-20,"Stamford, Connecticut",Industrials,United Rentals,URI
1994-07-01,"Minnetonka, Minnesota",Health Care,UnitedHealth Group,UNH
2014-09-20,"King of Prussia, Pennsylvania",Health Care,Universal Health Services,UHS
2002-12-20,"San Antonio, Texas",Energy,Valero Energy,VLO
2009-03-04,"Chicago, Illinois",Real Estate,Ventas,VTR
2023-10-02,"Waltham, Massachusetts",Industrials,Veralto,VLTO
2006-02-01,"Dulles, Virginia",Information Technology,Verisign,VRSN
2015-10-08,"Jersey City, New Jersey",Industrials,Verisk,VRSK
1983-11-30,"New York City, New York",Communication Services,Verizon,VZ
2013-09-23,"Cambridge, Massachusetts",Health Care,Vertex Pharmaceuticals,VRTX
1979-06-30,"Denver, Colorado",Consumer Discretionary,VF Corporation,VFC
2004-04-23,"Pittsburgh, Pennsylvania",Health Care,Viatris,VTRS
2022-06-08,"New York City, New York",Real Estate,Vici Properties,VICI
2009-12-21,"San Francisco, California",Financials,Visa Inc.,V
1999-06-30,"Birmingham, Alabama",Materials,Vulcan Materials Company,VMC
2019-12-05,"Greenwich, Connecticut",Financials,Berkley,WRB
2019-02-27,"Pittsburgh, Pennsylvania",Industrials,Wabtec,WAB
1979-12-31,"Deerfield, Illinois",Consumer Staples,Walgreens Boots Alliance,WBA
1982-08-31,"Bentonville, Arkansas",Consumer Staples,Walmart,WMT
1976-06-30,"Burbank, California",Communication Services,Walt Disney,DIS
2022-04-11,"New York City, New York",Communication Services,Warner Bros. Discovery,WBD
1998-08-31,"Houston, Texas",Industrials,Waste Management,WM
2002-01-02,"Milford, Massachusetts",Health Care,Waters Corporation,WAT
2008-10-31,"Milwaukee, Wisconsin",Utilities,WEC Energy Group,WEC
1976-06-30,"San Francisco, California",Financials,Wells Fargo,WFC
2009-01-30,"Toledo, Ohio",Real Estate,Welltower,WELL
2020-05-22,"Exton, Pennsylvania",Health Care,West Pharmaceutical Services,WST
2009-07-01,"San Jose, California",Information Technology,Western Digital,WDC
2015-06-25,"Atlanta, Georgia",Materials,WestRock,WRK
1979-10-01,"Seattle, Washington",Real Estate,Weyerhaeuser,WY
1958-03-31,"Benton Harbor, Michigan",Consumer Discretionary,Whirlpool Corporation,WHR
1975-03-31,"Tulsa, Oklahoma",Energy,Williams Companies,WMB
2016-01-05,"London, United Kingdom",Financials,Willis Towers Watson,WTW
1981-06-30,"Lake Forest, Illinois",Industrials,W. W. Grainger,GWW
2008-11-14,"Paradise, Nevada",Consumer Discretionary,Wynn Resorts,WYNN
1957-03-04,"Minneapolis, Minnesota",Utilities,Xcel Energy,XEL
2011-11-01,"White Plains, New York",Industrials,Xylem Inc.,XYL
1997-10-06,"Louisville, Kentucky",Consumer Discretionary,Yum! Brands,YUM
2019-12-23,"Lincolnshire, Illinois",Information Technology,Zebra Technologies,ZBRA
2001-08-07,"Warsaw, Indiana",Health Care,Zimmer Biomet,ZBH
2001-06-22,"Salt Lake City, Utah",Financials,Zions Bancorporation,ZION
2013-06-21,"Parsippany, New Jersey",Health Care,Zoetis,ZTS
